year,metric,value,unit,source
2024,北海道_延べ宿泊者数,44620000.0,人泊,観光庁 宿泊旅行統計調査
2024,札幌市_来札観光客数,9610000.0,人,札幌市観光統計
2024,札幌市_外国人宿泊者数,941000.0,人,札幌市観光統計
2024,北海道_台湾_宿泊者数,1847000.0,人泊,観光庁
2024,北海道_中国_宿泊者数,1632000.0,人泊,観光庁
2024,北海道_韓国_宿泊者数,1596000.0,人泊,観光庁
2023,ホテル全体_稼働率,0.726,率,デロイト
2024,民泊_全国平均稼働率,0.42,率,観光庁 宿泊実績
2024,民泊_平均ADR_通常,7000.0,円/泊,市場調査
2024,民泊_平均ADR_繁忙期,15000.0,円/泊,市場調査
2024,ホテル_平均宿泊料金,10000.0,円/泊,HotelBank
2024,全国_民泊届出住宅数,30318.0,件,観光庁
2024,札幌_ビジネスホテル施設数,131.0,施設,HotelBank
2024,札幌_BH_推定総客室数,20500.0,室,HotelBank
2025,北海道_延べ宿泊者数,45434840.0,人泊,観光庁 宿泊旅行統計調査 2025年確報
2025,北海道_外国人延べ宿泊者数,4907000.0,人泊,観光庁 宿泊旅行統計調査 2025年確報
2025,北海道_1月_延べ宿泊者数,4167480.0,人泊,観光庁
2025,北海道_1月_外国人宿泊者数,417690.0,人泊,観光庁
2025,北海道_2月_延べ宿泊者数,4005900.0,人泊,観光庁
2025,北海道_2月_外国人宿泊者数,411110.0,人泊,観光庁
2025,北海道_3月_延べ宿泊者数,3441880.0,人泊,観光庁
2025,北海道_3月_外国人宿泊者数,372100.0,人泊,観光庁
2025,北海道_4月_延べ宿泊者数,2572200.0,人泊,観光庁
2025,北海道_4月_外国人宿泊者数,303360.0,人泊,観光庁
2025,北海道_5月_延べ宿泊者数,3401120.0,人泊,観光庁
2025,北海道_5月_外国人宿泊者数,375600.0,人泊,観光庁
2025,北海道_6月_延べ宿泊者数,3660340.0,人泊,観光庁
2025,北海道_6月_外国人宿泊者数,424100.0,人泊,観光庁
2025,北海道_7月_延べ宿泊者数,4616850.0,人泊,観光庁
2025,北海道_7月_外国人宿泊者数,489030.0,人泊,観光庁
2025,北海道_8月_延べ宿泊者数,4856980.0,人泊,観光庁
2025,北海道_8月_外国人宿泊者数,532700.0,人泊,観光庁
2025,北海道_9月_延べ宿泊者数,3908130.0,人泊,観光庁
2025,北海道_9月_外国人宿泊者数,429090.0,人泊,観光庁
2025,北海道_10月_延べ宿泊者数,3848960.0,人泊,観光庁
2025,北海道_10月_外国人宿泊者数,418270.0,人泊,観光庁
2025,北海道_11月_延べ宿泊者数,3082450.0,人泊,観光庁
2025,北海道_11月_外国人宿泊者数,331670.0,人泊,観光庁
2025,北海道_12月_延べ宿泊者数,3872540.0,人泊,観光庁
2025,北海道_12月_外国人宿泊者数,402270.0,人泊,観光庁
2025,北海道_客室稼働率_全体,61.199999999999996,%,観光庁
2025,北海道_客室稼働率_ビジネスホテル,74.3,%,観光庁
2025,北海道_客室稼働率_シティホテル,71.0,%,観光庁
2025,北海道_客室稼働率_簡易宿所,66.9,%,観光庁
2025,北海道_1月_客室稼働率,62.4,%,観光庁
2025,北海道_2月_客室稼働率,67.4,%,観光庁
2025,北海道_3月_客室稼働率,54.9,%,観光庁
2025,北海道_4月_客室稼働率,46.0,%,観光庁
2025,北海道_5月_客室稼働率,55.2,%,観光庁
2025,北海道_6月_客室稼働率,64.5,%,観光庁
2025,北海道_7月_客室稼働率,70.7,%,観光庁
2025,北海道_8月_客室稼働率,69.8,%,観光庁
2025,北海道_9月_客室稼働率,67.7,%,観光庁
2025,北海道_10月_客室稼働率,63.4,%,観光庁
2025,北海道_11月_客室稼働率,54.2,%,観光庁
2025,北海道_12月_客室稼働率,59.3,%,観光庁
