period,rate_type,total,ryokan,resort_hotel,business_hotel,city_hotel,simple_inn,month
年計,客室稼働率,61.199999999999996,71.3,67.0,74.3,71.0,66.9,
1月,客室稼働率,62.4,67.4,63.5,70.0,73.5,72.4,1.0
2月,客室稼働率,67.4,75.9,74.2,77.3,82.1,80.9,2.0
3月,客室稼働率,54.9,63.6,58.9,66.5,66.8,64.3,3.0
4月,客室稼働率,46.0,56.5,50.5,60.6,55.8,49.4,4.0
5月,客室稼働率,55.2,67.0,62.7,69.5,64.6,59.6,5.0
6月,客室稼働率,64.5,76.0,74.3,77.5,71.7,67.0,6.0
7月,客室稼働率,70.7,81.5,76.9,84.6,77.6,72.5,7.0
8月,客室稼働率,69.8,79.8,74.9,83.7,78.4,72.3,8.0
9月,客室稼働率,67.7,79.5,73.3,83.7,76.5,72.2,9.0
10月,客室稼働率,63.4,75.2,69.8,79.1,71.6,68.2,10.0
11月,客室稼働率,54.2,65.3,59.6,69.1,65.1,59.3,11.0
12月,客室稼働率,59.3,68.6,66.8,70.1,68.6,65.7,12.0
年計,定員稼働率,40.699999999999996,48.199999999999996,43.5,52.400000000000006,52.6,46.400000000000006,
1月,定員稼働率,44.0,48.0,45.7,50.5,55.7,51.9,1.0
2月,定員稼働率,46.8,53.7,50.1,57.1,62.6,56.4,2.0
3月,定員稼働率,37.3,44.6,40.9,47.8,49.6,44.2,3.0
4月,定員稼働率,27.5,35.4,30.2,40.5,37.7,31.1,4.0
5月,定員稼働率,36.0,43.6,38.9,47.6,46.6,39.8,5.0
6月,定員稼働率,40.8,49.1,45.4,52.6,51.4,44.7,6.0
7月,定員稼働率,48.2,55.4,51.0,59.4,59.9,51.6,7.0
8月,定員稼働率,50.7,57.8,53.4,62.1,62.4,56.1,8.0
9月,定員稼働率,42.4,51.7,45.7,57.2,53.2,46.3,9.0
10月,定員稼働率,40.4,48.6,43.0,53.8,53.3,47.9,10.0
11月,定員稼働率,33.4,41.7,35.5,47.3,45.7,39.3,11.0
12月,定員稼働率,40.6,48.6,43.9,53.0,54.0,47.8,12.0
